Creating core
Start listening
Handled: AdminService::wrongopname (8ms)
Handled: StrategyService::GetGoals (0ms)
Handled: CalendarService::Query (0ms)
Handled: CalendarService::Next (0ms)
Handled: InboxService::GetInbox (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: StrategyService::GetResources (0ms)
Handled: InboxService::GetInbox (0ms)
Handled: InboxService::EditItem (22ms)
Handled: InboxService::GetInbox (0ms)
Handled: CalendarService::AddItem (22ms)
Handled: CalendarService::Next (0ms)
Handled: CalendarService::AddItem (14ms)
Handled: CalendarService::Next (0ms)
Handled: CalendarService::Query (0ms)
Handled: CalendarService::AddItem (14ms)
Handled: CalendarService::Next (0ms)
Handled: CalendarService::AddItem (22ms)
Handled: CalendarService::Next (0ms)
Handled: CalendarService::AddItem (22ms)
Handled: CalendarService::EditItem (9ms)
Handled: CalendarService::AddItem (14ms)
Handled: CalendarService::AddItem (14ms)
Handled: CalendarService::AddItem (14ms)
Handled: CalendarService::AddItem (22ms)
Handled: CalendarService::Query (0ms)
Handled: CalendarService::AddItem (21ms)
Handled: AdminService::wrongopname (0ms)
Handled: StrategyService::GetGoals (0ms)
Handled: CalendarService::Query (0ms)
Handled: CalendarService::Next (0ms)
Handled: InboxService::GetInbox (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: StrategyService::GetResources (0ms)
Handled: JournalService::InsertPage (23ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::DeleteItem (39ms)
Handled: JournalService::InsertFolder (9ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::InsertPage (48ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (48ms)
Handled: JournalService::GetPage (0ms)
Handled: AdminService::wrongopname (0ms)
Handled: StrategyService::GetGoals (0ms)
Handled: CalendarService::Query (0ms)
Handled: CalendarService::Next (0ms)
Handled: InboxService::GetInbox (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: StrategyService::GetResources (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::InsertPage (47ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (19ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::InsertPage (39ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (48ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::InsertPage (23ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (39ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::InsertPage (23ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (48ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::InsertPage (48ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (44ms)
Handled: JournalService::InsertPage (23ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (48ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::InsertFolder (14ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::InsertPage (39ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (48ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: AdminService::wrongopname (0ms)
Handled: StrategyService::GetGoals (0ms)
Handled: CalendarService::Query (0ms)
Handled: CalendarService::Next (0ms)
Handled: InboxService::GetInbox (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: StrategyService::GetResources (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::InsertPage (19ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (48ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::InsertPage (39ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (24ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::InsertFolder (22ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::InsertPage (23ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (39ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::InsertFolder (14ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::InsertPage (39ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (24ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::UpdatePage (18ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::InsertPage (23ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetPage (0ms)
Handled: JournalService::GetPage (0ms)
Handled: AdminService::wrongopname (0ms)
Handled: StrategyService::GetGoals (0ms)
Handled: CalendarService::Query (0ms)
Handled: CalendarService::Next (0ms)
Handled: InboxService::GetInbox (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: StrategyService::GetResources (0ms)
Handled: AdminService::wrongopname (0ms)
Handled: StrategyService::GetGoals (0ms)
Handled: CalendarService::Query (0ms)
Handled: CalendarService::Next (0ms)
Handled: InboxService::GetInbox (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: StrategyService::GetResources (0ms)
Handled: StrategyService::AddGoal (22ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::ModifyGoal (21ms)
Handled: StrategyService::ModifyGoal (10ms)
Handled: StrategyService::AddGoal (22ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (18ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::ModifyGoal (22ms)
Handled: StrategyService::AddGoal (14ms)
Handled: StrategyService::GetGoal (0ms)
